id,nombre,anime_id,role
1,,853,MAIN
2,,853,MAIN
13,Uchiha Sasuke,20,MAIN
14,Uchiha Itachi,0,SUPPORTING
17,Uzumaki Naruto,20,MAIN
85,Hatake Kakashi,20,MAIN
145,Haruno Sakura,20,MAIN
306,Lee Rock,20,SUPPORTING
307,Might Guy,20,SUPPORTING
728,Momochi Zabuza,20,SUPPORTING
809,Mitarashi Anko,20,SUPPORTING
1555,Hyuuga Hinata,20,SUPPORTING
1662,Gaara,20,SUPPORTING
1694,Hyuuga Neji,20,SUPPORTING
1902,Deidara,20,SUPPORTING
2007,Nara Shikamaru,20,SUPPORTING
2008,Akimichi Chouji,20,SUPPORTING
2009,Yamanaka Ino,20,SUPPORTING
2011,Umino Iruka,20,SUPPORTING
2039,Haku,20,SUPPORTING
2174,Temari,20,SUPPORTING
2405,Yakushi Kabuto,9320889,SUPPORTING
2423,Jiraiya,20,SUPPORTING
2455,Orochimaru,20,SUPPORTING
2535,Namikaze Minato,20,SUPPORTING
2672,Hoshigaki Kisame,9825092,SUPPORTING
2766,Pakkun,20,SUPPORTING
2767,Tsunade,20,SUPPORTING
2792,Hidan,20,SUPPORTING
3052,Tayuya,20,SUPPORTING
3150,Zetsu,20,DESCONOCIDO
3178,Kakuzu,20,SUPPORTING
3179,Konan,20,SUPPORTING
3180,Pain,20,SUPPORTING
3428,Aburame Shino,20,SUPPORTING
3438,Kimimaro,20,SUPPORTING
3495,Inuzuka Kiba,20,SUPPORTING
3710,Tenten,20,SUPPORTING
3735,Shiranui Genma,9946038,SUPPORTING
3889,Sarutobi Konohamaru,20,SUPPORTING
4223,Gamabunta,20,SUPPORTING
4643,Shizune,20,SUPPORTING
4694,Kankurou,20,SUPPORTING
4773,Yuuhi Kurenai,20,SUPPORTING
4775,Sarutobi Asuma,20,SUPPORTING
4799,Akamaru,20,SUPPORTING
5737,Isaribi,20,SUPPORTING
7310,Matsuri,20,SUPPORTING
7407,Kurama,20,SUPPORTING
7571,Sarutobi Hiruzen,20,SUPPORTING
7608,Katsuyu,20,SUPPORTING
7738,Gekkou Hayate,20,SUPPORTING
8495,Jiroubou,20,SUPPORTING
8497,Kidoumaru,20,SUPPORTING
8760,Sakon,20,SUPPORTING
8771,Kurosuki Raiga,20,SUPPORTING
8810,Menma,9908106,SUPPORTING
8997,Abumi Zaku,20,SUPPORTING
9244,Kinuta Dosu,20,SUPPORTING
9680,Tsuchi Kin,20,SUPPORTING
9699,Akado Yoroi,20,SUPPORTING
10013,Uchiha Sasuke,20,MAIN
10014,Uchiha Itachi,20,SUPPORTING
10524,Seimei,20,SUPPORTING
10697,Aburame Shibi,20,SUPPORTING
10698,Akahoshi,20,SUPPORTING
10699,Akimichi Chouza,20,SUPPORTING
10700,Akio,20,SUPPORTING
10791,Ebisu,0,SUPPORTING
11813,Shukaku,20,SUPPORTING
12464,Senju Hashirama,9097708,SUPPORTING
12465,Senju Tobirama,20,SUPPORTING
12563,Hyuuga Hanabi,20,SUPPORTING
12766,Pakkun,20,SUPPORTING
13017,Yashamaru,20,SUPPORTING
13454,Kazamatsuri Moegi,20,SUPPORTING
14032,Kamizuki Izumo,20,SUPPORTING
15039,Hyuuga Hiashi,20,SUPPORTING
15045,Uzuki Yugao,20,SUPPORTING
15072,Yamanaka Inoichi,20,SUPPORTING
15073,Inuzuka Hana,20,SUPPORTING
15074,Inuzuka Tsume,20,SUPPORTING
15077,Tsunami,20,SUPPORTING
15081,Baki,20,SUPPORTING
15145,Yotaka,20,SUPPORTING
15176,Fuuma Kamikiri,20,SUPPORTING
15177,Fuuma Sasame,20,SUPPORTING
15178,Haruna,20,SUPPORTING
15179,Shigure,20,SUPPORTING
15757,Enma,20,SUPPORTING
15759,Mizura,20,SUPPORTING
16164,Gouzu,20,SUPPORTING
16165,Meizu,20,SUPPORTING
16304,Hagane Kotetsu,20,SUPPORTING
16321,Toki,20,SUPPORTING
16952,Gamatatsu,20,SUPPORTING
16973,Uchiha Fugaku,20,SUPPORTING
16974,Mubi,20,SUPPORTING
16975,Houki,9159511,SUPPORTING
16976,Wasabi Jirouchou,20,SUPPORTING
16999,Gamakichi,20,SUPPORTING
17165,Chishima,20,SUPPORTING
17197,Tazuna,9611949,SUPPORTING
17199,Genno,20,SUPPORTING
17200,Todoroki,20,SUPPORTING
17298,Namiashi Raidou,20,SUPPORTING
17302,Karashi,20,SUPPORTING
17305,Ryuugan,20,SUPPORTING
17307,Hikyakuya Fukusuke,0,SUPPORTING
17310,Ayame,20,SUPPORTING
17312,Teuchi,20,SUPPORTING
17313,Fuuma Jigumo,20,SUPPORTING
17316,Fuuma Arashi,20,SUPPORTING
17414,Ranmaru,20,SUPPORTING
17424,Hokushin,20,SUPPORTING
17425,Renga,20,SUPPORTING
17535,Genzou,20,SUPPORTING
17536,Gatsu,20,SUPPORTING
17537,Dengaku,20,SUPPORTING
17538,Akado Manabu,9661762,SUPPORTING
17539,Hokuto,20,SUPPORTING
17540,Mondai,20,SUPPORTING
17541,Nagare,9670966,SUPPORTING
17542,Nanafushi,20,SUPPORTING
17544,Kazabune,20,SUPPORTING
17545,Kurama Yakumo,20,SUPPORTING
17546,Sazanami,20,SUPPORTING
17547,Senta,20,SUPPORTING
17548,Shinemon,20,SUPPORTING
17549,Yajirobee,20,SUPPORTING
17551,Tanzou,0,SUPPORTING
17552,Waraji,20,SUPPORTING
17553,Yamashiro Aoba,20,SUPPORTING
17557,Kamizuru Jibachi,20,SUPPORTING
17619,Oboro,20,SUPPORTING
17666,Tsubaki,0,SUPPORTING
18056,Nara Shikaku,9359756,SUPPORTING
18810,Menma,20,SUPPORTING
19253,Touji Mizuki,20,SUPPORTING
19680,Tsuchi Kin,20,SUPPORTING
20274,Giichi,0,SUPPORTING
20276,Jantou,0,SUPPORTING
20277,Kusabi,20,SUPPORTING
20278,Hachidai,20,SUPPORTING
20279,Hakkaku,20,SUPPORTING
20645,Akane,20,SUPPORTING
21122,Uchiha Mikoto,20,SUPPORTING
21365,Inari,20,SUPPORTING
22247,Nara Yoshino,20,SUPPORTING
22248,Karura,20,SUPPORTING
22648,Mitokado Homura,20,SUPPORTING
22649,Utatane Koharu,20,SUPPORTING
22876,Katou Dan,20,SUPPORTING
22880,Hyuuga Hizashi,20,SUPPORTING
22884,Nawaki,20,SUPPORTING
22889,Uchiha Tekka,20,SUPPORTING
22891,Uchiha Inabi,20,SUPPORTING
22908,Uchiha Yashiro,9178480,SUPPORTING
22920,Rasa,20,SUPPORTING
22921,Tsurugi Misumi,20,SUPPORTING
22922,Genyuumaru,20,SUPPORTING
22923,Morino Ibiki,20,SUPPORTING
22931,Zouri,20,DESCONOCIDO
22996,Kaiza,20,SUPPORTING
23006,Ami,20,SUPPORTING
23017,Yashamaru,20,SUPPORTING
23052,Ise Udon,20,SUPPORTING
23053,Hiruko,20,SUPPORTING
23056,Kagari,20,SUPPORTING
23081,Baiu,20,SUPPORTING
23083,Midare,9654843,SUPPORTING
23140,Tobitake Tonbo,20,SUPPORTING
23143,Uchiha Teyaki,20,SUPPORTING
23144,Uchiha Uruchi,20,SUPPORTING
23145,Shiba,20,SUPPORTING
23153,Shiore,20,SUPPORTING
23154,Suzume,20,SUPPORTING
23155,Hijiri Shimon,20,SUPPORTING
23156,Shibire,20,SUPPORTING
23215,Sagi,0,SUPPORTING
23569,Guruko,20,SUPPORTING
23759,Tatami Iwashi,20,SUPPORTING
24324,Tobio,20,SUPPORTING
25145,Yotaka,20,SUPPORTING
25179,Shigure,20,SUPPORTING
26974,Mubi,20,SUPPORTING
27538,Akado Manabu,20,SUPPORTING
27540,Mondai,20,SUPPORTING
27688,Fuuma Kotohime,9162336,SUPPORTING
31122,Uchiha Mikoto,20,SUPPORTING
31197,Morino Idate,20,SUPPORTING
31365,Inari,20,SUPPORTING
31828,Jouseki,20,SUPPORTING
32891,Uchiha Inabi,20,SUPPORTING
32908,Uchiha Yashiro,20,SUPPORTING
33056,Kagari,20,SUPPORTING
33143,Uchiha Teyaki,20,SUPPORTING
33144,Uchiha Uruchi,20,SUPPORTING
33154,Suzume,20,SUPPORTING
33215,Sagi,20,SUPPORTING
34075,Bisuke,20,SUPPORTING
37929,Manda,20,SUPPORTING
41366,Ukon,20,SUPPORTING
41828,Jouseki,20,SUPPORTING
43923,Kunihisa,20,SUPPORTING
43924,Kunijirou,20,SUPPORTING
43972,Matsuri,20,SUPPORTING
46605,Shibuki,20,SUPPORTING
50957,Ran,20,SUPPORTING
53972,Matsuri,20,SUPPORTING
56605,Shibuki,20,SUPPORTING
60957,Ran,20,SUPPORTING
63793,Gatou,20,SUPPORTING
67289,Haruno Mebuki,20,SUPPORTING
77693,Natsuhi,20,DESCONOCIDO
82609,Sumaru,20,SUPPORTING
83755,Gantetsu,20,SUPPORTING
88313,Hakus Mother,9336544,SUPPORTING
90849,Tonton,20,SUPPORTING
91137,Kujaku,9601122,SUPPORTING
92609,Sumaru,20,SUPPORTING
129493,Kurama Unkai,20,DESCONOCIDO
149421,Akame Iwana,20,SUPPORTING
149422,Bekkou,20,SUPPORTING
149423,Ibara,20,SUPPORTING
149424,Tsubaki,20,SUPPORTING
160858,Fukuyokana,20,SUPPORTING
160859,Shinayakana,20,SUPPORTING
161288,Sanshou,20,SUPPORTING
197866,Kamizuru Kurobachi,0,SUPPORTING
197867,Kamizuru Suzumebachi,0,SUPPORTING
206139,Momiji,20,SUPPORTING
206141,Kagero,20,SUPPORTING
206142,Raijin,20,SUPPORTING
206143,Fuujin,9949762,SUPPORTING
206144,Koumei,20,SUPPORTING
206145,Ruiga,20,SUPPORTING
227807,Kagetsu Futa,0,SUPPORTING
227808,Kagetsu Toubei,20,SUPPORTING
227809,Kagetsu Tsukiko,9877806,SUPPORTING
227810,Kagetsu Mai,20,SUPPORTING
227811,Kikunojou,20,SUPPORTING
227812,Sanjurou Shura,20,SUPPORTING
227898,Yurinojou,20,SUPPORTING
227899,Hanzaki,20,SUPPORTING
227900,Houki,20,SUPPORTING
234151,Narrator,20,SUPPORTING
237807,Kagetsu Futa,20,SUPPORTING
245051,Wagarashi Kyuuroku,20,SUPPORTING
251508,Rokusuke,20,SUPPORTING
251515,Sangorou,20,SUPPORTING
251571,Sukeza,20,SUPPORTING
251864,Gosunkugi,20,SUPPORTING
251865,Manaka Michizou,9256244,SUPPORTING
252501,Potcha,20,SUPPORTING
252721,Oowashi,20,SUPPORTING
252722,Amachi,20,SUPPORTING
252723,Hitode,20,SUPPORTING
252724,Kaisen Agari,20,SUPPORTING
252725,Hotarubi,9893185,SUPPORTING
252726,Shisou,20,SUPPORTING
252729,Kagetsu Kiyoyasu,20,SUPPORTING
252730,Jiga,20,SUPPORTING
252731,Chikara,20,SUPPORTING
252732,Fuku,20,SUPPORTING
252733,Kayo,20,SUPPORTING
252734,Kubisaki Kouza,20,SUPPORTING
252737,Ryuudouin Genshou,20,SUPPORTING
252738,Yagura,20,SUPPORTING
252741,Ryuudouin Agira,20,SUPPORTING
252742,Ryuudouin Jakou,20,SUPPORTING
252743,Ryuudouin Rokkaku,20,SUPPORTING
252779,Kanna,20,SUPPORTING
252908,Kurama Uroko,20,SUPPORTING
252909,Kurama Murakumo,20,SUPPORTING
252910,Monju,9398825,SUPPORTING
252911,Toki,20,SUPPORTING
252912,Tsuzumi,9311760,SUPPORTING
252915,Fuki,0,SUPPORTING
252916,Shiin,20,SUPPORTING
252918,Suiko,20,SUPPORTING
255312,Mozuku,9388821,SUPPORTING
256932,Madam Shijimi,20,SUPPORTING
262721,Oowashi,20,SUPPORTING
262737,Ryuudouin Genshou,20,SUPPORTING
262743,Ryuudouin Rokkaku,20,SUPPORTING
262915,Fuki,20,SUPPORTING
267451,Funeno Daikoku,20,SUPPORTING
267452,Chouhan,20,SUPPORTING
268346,Hostesssan,20,SUPPORTING
